Date,Order ID,Menu Items,Total Price
09/26/2024,09262024_1,"{'Coconut Milk Tea': (1, 3, 2), 'Secret Matcha': (0, 1, 2)}",254.25
09/26/2024,09262024_2,"{'Protein Shake Milk Tea': (1, 1, 1), 'Ube Milk Tea': (2, 3, 2), 'Secret Matcha': (2, 1, 0)}",285.75
09/26/2024,09262024_3,"{'Winter Melon Green Tea': (0, 2, 1), 'Protein Shake Milk Tea': (1, 0, 0), 'Original Milk Tea': (2, 3, 1)}",65.0
09/26/2024,09262024_4,"{'Original Milk Tea': (0, 2, 0), 'Cappuccino Milk Tea': (1, 1, 2)}",36.5
09/26/2024,09262024_5,"{'Peach Oolong Tea': (1, 0, 1), 'Ice Blend Latte': (2, 2, 0), 'Ube Milk Tea': (1, 1, 2)}",67.5
09/26/2024,09262024_6,"{'Passionfruit Green Tea': (1, 2, 1), 'Coconut Milk Tea': (2, 2, 0)}",56.0
09/26/2024,09262024_7,"{'Secret Matcha': (1, 1, 0), 'Oolong Milk Tea': (1, 1, 0), 'Cappuccino Milk Tea': (2, 2, 1)}",177.25
09/26/2024,09262024_8,"{'Black Milk Tea': (1, 2, 2)}",27.25
09/26/2024,09262024_9,"{'Peach Oolong Tea': (1, 1, 0), 'Protein Shake Milk Tea': (2, 3, 2), 'Ube Milk Tea': (1, 3, 0)}",139.75
09/26/2024,09262024_10,"{'Ube Milk Tea': (2, 2, 1), 'Strawberry Matcha': (2, 3, 1)}",92.25
09/26/2024,09262024_11,"{'Ube Milk Tea': (2, 2, 1), 'Secret Matcha': (1, 1, 0), 'Oolong Milk Tea': (2, 2, 2), 'Green Milk Tea': (1, 0, 0)}",208.5
09/26/2024,09262024_12,"{'Peach Oolong Tea': (0, 3, 0)}",21.75
09/26/2024,09262024_13,"{'Cappuccino Milk Tea': (2, 2, 2)}",61.5
09/26/2024,09262024_14,"{'Oolong Milk Tea': (0, 1, 0)}",5.25
09/26/2024,09262024_15,"{'Peach Oolong Tea': (0, 1, 0)}",14.5
09/26/2024,09262024_16,"{'Secret Matcha': (1, 0, 2)}",208.75
09/26/2024,09262024_17,"{'Strawberry Matcha': (2, 0, 1), 'Oolong Milk Tea': (0, 3, 0)}",36.5
09/26/2024,09262024_18,"{'Green Milk Tea': (0, 0, 2), 'Strawberry Matcha': (0, 3, 2), 'Strawberry Lemonade Tea': (1, 1, 2), 'Oolong Milk Tea': (2, 1, 0)}",78.5
09/26/2024,09262024_19,"{'Coconut Milk Tea': (1, 1, 1), 'Winter Melon Green Tea': (0, 3, 2)}",65.0
09/26/2024,09262024_20,"{'Protein Shake Milk Tea': (0, 3, 2), 'Passionfruit Green Tea': (1, 3, 2), 'Winter Melon Green Tea': (1, 0, 1)}",111.75
09/26/2024,09262024_21,"{'Coconut Milk Tea': (0, 2, 1), 'Cappuccino Milk Tea': (0, 1, 2), 'Winter Melon Green Tea': (2, 2, 1)}",91.0
09/26/2024,09262024_22,"{'Oolong Milk Tea': (0, 0, 1), 'Strawberry Matcha': (2, 3, 1), 'Black Milk Tea': (0, 2, 0)}",59.25
09/26/2024,09262024_23,"{'Winter Melon Green Tea': (0, 0, 2), 'Strawberry Lemonade Tea': (2, 3, 1), 'Cappuccino Milk Tea': (2, 1, 2), 'Green Milk Tea': (1, 1, 2)}",90.25
