Z Report (End of Day) for 2024-10-09
TOTAL, $8490.75, 113 Orders, Avg/Order: $75.14, Avg/Hour: $707.56, Peak: 09:00 ($1405.75)

Hour          |        Sales |   Orders |   Avg Sale | Rush
-----------------------------------------------------------
09:00 - 09:59 |     $1405.75 |       13 |    $108.13 |  Yes
10:00 - 10:59 |      $388.25 |        9 |     $43.14 |   No
11:00 - 11:59 |      $178.75 |        4 |     $44.69 |   No
12:00 - 12:59 |     $1279.25 |       15 |     $85.28 |  Yes
13:00 - 13:59 |     $1260.50 |       16 |     $78.78 |  Yes
14:00 - 14:59 |      $299.50 |        6 |     $49.92 |   No
15:00 - 15:59 |      $645.25 |        5 |    $129.05 |   No
16:00 - 16:59 |      $651.25 |        9 |     $72.36 |   No
17:00 - 17:59 |     $1014.25 |       14 |     $72.45 |   No
18:00 - 18:59 |      $236.25 |        6 |     $39.38 |   No
19:00 - 19:59 |      $520.75 |        8 |     $65.09 |   No
20:00 - 20:59 |      $611.00 |        8 |     $76.38 |   No
