DateTime,Order ID,Customer ID,Menu Items,Total Price
092620240901,09262024_1,7002313919,"{'Mango Green Tea': (1, 0, 2)}",10.75
092620240903,09262024_2,9718493322,"{'Strawberry Matcha': (0, 3, 0), 'Cappuccino Milk Tea': (0, 2, 0)}",34.25
092620240904,09262024_3,4222533583,"{'Protein Shake Milk Tea': (1, 2, 1), 'Mango Green Tea': (2, 1, 2), 'Peach Oolong Tea': (0, 1, 2)}",93.25
092620240917,09262024_4,8047557190,"{'Passionfruit Green Tea': (2, 1, 1), 'Original Milk Tea': (0, 0, 1), 'Cappuccino Milk Tea': (2, 2, 2), 'Peach Oolong Tea': (0, 1, 0)}",79.0
092620240918,09262024_5,8677144035,"{'Free Drink': (0, 1, 1), 'Ube Milk Tea': (2, 1, 2)}",37.25
092620240937,09262024_6,3627793557,"{'Passionfruit Green Tea': (2, 2, 0), 'Oolong Milk Tea': (2, 1, 2)}",87.75
092620240947,09262024_7,4488764787,"{'Original Milk Tea': (2, 0, 0)}",8.5
092620240953,09262024_8,2068535458,"{'Original Milk Tea': (2, 3, 0), 'Coconut Milk Tea': (0, 3, 1), 'Mango Green Tea': (0, 1, 1)}",61.75
092620241005,09262024_9,4918004363,"{'Passionfruit Green Tea': (2, 1, 0)}",19.75
092620241011,09262024_10,3034512378,"{'Oolong Milk Tea': (2, 2, 1), 'Mango Green Tea': (2, 1, 2), 'Secret Matcha': (1, 0, 1), 'Winter Melon Green Tea': (1, 1, 1)}",204.75
092620241012,09262024_11,5306388763,"{'Winter Melon Green Tea': (0, 2, 2), 'Original Milk Tea': (1, 3, 1)}",61.25
092620241012,09262024_12,5033339878,"{'Oolong Milk Tea': (2, 1, 0), 'Ube Milk Tea': (2, 3, 2)}",91.75
092620241026,09262024_13,7554308248,"{'Green Milk Tea': (2, 1, 2), 'Original Milk Tea': (2, 2, 0), 'Strawberry Matcha': (1, 3, 1)}",87.75
092620241030,09262024_14,4844905721,"{'Strawberry Matcha': (0, 3, 2), 'Coconut Milk Tea': (0, 1, 1), 'Passionfruit Green Tea': (0, 3, 1), 'Ice Blend Latte': (2, 1, 2)}",115.0
092620241031,09262024_15,4405779503,"{'Secret Matcha': (0, 3, 1), 'Ice Blend Latte': (2, 1, 2), 'Oolong Milk Tea': (1, 0, 1), 'Passionfruit Green Tea': (2, 0, 1)}",340.5
092620241032,09262024_16,4012306324,"{'Original Milk Tea': (2, 2, 1), 'Passionfruit Green Tea': (2, 2, 2)}",68.75
092620241033,09262024_17,2174548087,"{'Secret Matcha': (0, 3, 2), 'Winter Melon Green Tea': (0, 3, 2), 'Black Milk Tea': (0, 1, 0)}",396.75
092620241034,09262024_18,4243066032,"{'Black Milk Tea': (0, 1, 0), 'Ice Blend Latte': (1, 1, 1)}",24.0
092620241038,09262024_19,9814717914,"{'Black Milk Tea': (1, 1, 1), 'Strawberry Matcha': (0, 2, 1), 'Coconut Milk Tea': (0, 2, 1)}",61.25
092620241040,09262024_20,4243066032,"{'Green Milk Tea': (0, 1, 1)}",11.5
092620241107,09262024_21,6744545720,"{'Secret Matcha': (0, 1, 1), 'Black Milk Tea': (0, 0, 1), 'Ube Milk Tea': (2, 0, 0)}",158.25
092620241124,09262024_22,2859471585,"{'Black Milk Tea': (0, 1, 2), 'Passionfruit Green Tea': (2, 0, 0), 'Protein Shake Milk Tea': (2, 0, 1), 'Coconut Milk Tea': (0, 1, 0)}",65.75
092620241130,09262024_23,4918004363,"{'Protein Shake Milk Tea': (2, 2, 1)}",47.75
092620241135,09262024_24,3704571340,"{'Oolong Milk Tea': (2, 3, 2), 'Ice Blend Latte': (1, 2, 2), 'Peach Oolong Tea': (1, 3, 2)}",120.75
092620241141,09262024_25,9149257699,"{'Secret Matcha': (1, 0, 2), 'Ice Blend Latte': (1, 2, 1), 'Green Milk Tea': (0, 2, 2), 'Coconut Milk Tea': (2, 1, 1)}",284.75
092620241145,09262024_26,7582848977,"{'Oolong Milk Tea': (2, 0, 0), 'Strawberry Lemonade Tea': (1, 1, 1), 'Strawberry Matcha': (1, 2, 1)}",47.25
092620241147,09262024_27,8737817012,"{'Strawberry Matcha': (1, 1, 1), 'Strawberry Lemonade Tea': (1, 1, 0)}",27.25
092620241149,09262024_28,7899991279,"{'Mango Green Tea': (2, 0, 1), 'Peach Oolong Tea': (2, 0, 2), 'Secret Matcha': (2, 3, 0)}",382.0
092620241153,09262024_29,4405779503,"{'Protein Shake Milk Tea': (1, 2, 2), 'Secret Matcha': (1, 3, 2), 'Cappuccino Milk Tea': (1, 2, 0)}",484.0
092620241158,09262024_30,4283507976,"{'Strawberry Lemonade Tea': (1, 3, 2), 'Mango Green Tea': (2, 2, 0)}",31.5
092620241209,09262024_31,2622718168,"{'Protein Shake Milk Tea': (2, 3, 1), 'Mango Green Tea': (2, 1, 1), 'Secret Matcha': (1, 2, 2), 'Coconut Milk Tea': (1, 0, 1)}",431.25
092620241212,09262024_32,5625561348,"{'Cappuccino Milk Tea': (0, 2, 1)}",51.0
092620241217,09262024_33,6255499854,"{'Passionfruit Green Tea': (2, 2, 1), 'Peach Oolong Tea': (2, 2, 0)}",62.25
092620241219,09262024_34,8873172881,"{'Protein Shake Milk Tea': (1, 1, 1)}",29.25
092620241220,09262024_35,5914005208,"{'Ice Blend Latte': (0, 1, 1), 'Cappuccino Milk Tea': (0, 0, 2)}",28.0
092620241221,09262024_36,4537033287,"{'Ube Milk Tea': (1, 0, 2), 'Secret Matcha': (1, 0, 1)}",161.25
092620241226,09262024_37,2147372313,"{'Cappuccino Milk Tea': (2, 0, 0), 'Secret Matcha': (2, 3, 0), 'Ice Blend Latte': (0, 1, 0), 'Strawberry Lemonade Tea': (2, 3, 2)}",383.75
092620241227,09262024_38,4086304914,"{'Passionfruit Green Tea': (2, 2, 0), 'Winter Melon Green Tea': (1, 0, 1)}",43.5
092620241229,09262024_39,6235319349,"{'Ice Blend Latte': (0, 2, 1), 'Secret Matcha': (1, 3, 2), 'Passionfruit Green Tea': (2, 2, 1), 'Black Milk Tea': (0, 3, 2)}",499.75
092620241235,09262024_40,4243066032,"{'Protein Shake Milk Tea': (0, 3, 0), 'Mango Green Tea': (1, 2, 0), 'Strawberry Matcha': (2, 3, 2), 'Free Drink': (1, 2, 1)}",88.75
092620241242,09262024_41,4854819394,"{'Strawberry Lemonade Tea': (1, 1, 1), 'Passionfruit Green Tea': (2, 3, 0), 'Strawberry Matcha': (2, 1, 1)}",72.0
092620241245,09262024_42,7389618396,"{'Ube Milk Tea': (0, 0, 2)}",16.5
